;Фамилия автора по-русски;Название журнала;Год публикации
429;Тома;Современная драматургия;1986
430;Травен;Подвиг;1986
431;Тронсон;Вокруг света;1972
432;Тушель;Урал;1971
433;Тюрк;Звезда Востока;1977
434;Уайз;Наука и религия;1977
435;Уайт;Москва;1970
436;Уильямс;Волга;1970
437;Уильямс;Искатель;1983
438;Уильямс;Искатель;1986
439;Уиннингтон;Огонек;1978
440;Уиннингтон;Огонек;1983
441;Унгер;Звезда Востока;1970
442;Уоллес (Уоллас);Вокруг света;1979
443;Уоткин;Звезда Востока;1972
444;Уэстлейк;Сельская молодежь;1969
445;Уэстлейк;Север;1985
446;Фальберг;Звезда Востока;1970
447;Аддамс;Простор;1965
448;Аддамс;Неман;1969
449;Азимов;Простор;1968
450;Азимов;Аврора;1971
460;Азимов;Литературная Россия;1989
461;Айриш;Искатель;1963
462;Айриш;Искатель;1968
463;Альман;Неман;1968
464;Андерсон;Огонек;1987
465;Армстронг;Дон;1970
466;Армстронг;Дон;1973
467;Арно;Смена;1980
468;Арно;Подвиг;1981
469;Арчер;Сельская молодежь;1987
470;Банзимра;Вокруг света;1980
471;Барнаби;Волга;1969
472;Бейешу;Наш современник;1973
473;Бентли;Север;1974
474;Беркеши;Подвиг;1966
475;Биллингер;Подвиг;1969
476;Блакберн;Смена;1972
477;Блессингейм;Звезда Востока;1965
478;Блессингейм;Литературный Азербайджан;1968
479;Бодельсен;Искатель;1987
480;Бозецки;Сельская молодежь;1986
481;Бойхлер;Сибирские огни;1970
482;Буало - Нарсежак;Простор;1973
483;Буало - Нарсежак;Сельская молодежь;1983
484;Буало - Нарсежак;Волга;1988
485;Буало - Нарсежак;Смена;1988
486;Буало - Нарсежак;Литературная Грузия;1989
487;Быстшицкий;Дон;1969
488;Валё и Шёваль;Вокруг света;1976
489;Валё и Шёваль;Вокруг света;1984
490;Валё и Шёваль;Вокруг света;1981
491;Валле;Искатель;1979
492;Вебер;Урал;1970
493;Вебер;Подъем;1981
494;Вексен;Физкультура и спорт;1980
495;Веральди;Вокруг света;1978
496;Выджинский;Урал;1965
497;Выджинский;Звезда Востока;1980
498;Выджинский;Звезда Востока;1986
499;Габор Йожеф;Подъем;1963
500;Габор Йожеф;Подъем;1985
501;Гамарра;Подвиг;1968
502;Гамарра;Кодры;1969
503;Гарве;Памир;1979
504;Гарднер;Неделя;1975
504;Гарднер;Искатель;1980
506;Гарднер;Искатель;1983
507;Гарднер;Искатель;1985
508;Гарднер;Простор;1986
509;Гарднер;Смена;1989
510;Гарсиа Павон;Иностранная литература;1976
511;Гарфилд;Север;1988
512;Гейцман;Урал;1979
513;Гейцман;Урал;1984
514;Генри Рис;Сельская молодежь;1981
